ticker,desc
GUD,"Distributor of automotive filtration and other service parts, locking systems and other security products, water pumps,pool equipment and associated equipment industrial and commercial storage products and systems, electrical appliances, cleaning products"
SXY,"Petroleum production, exploration and development."
CBA,"Banking, financial and related services."
ORG,Operating energy businesses
SOL,"Investment, coal mining, pharmaceutical, telecommunications, building materials."
FLT,"Travel retailing in both the leisure and corporate travel sectors, plus in-destination travel experience including tour operators, hotel management, destination management companies (DMCs) and wholesaling."
SHL,"Sonic Healthcare is one of the world's largest medical diagnostics companies, providing laboratory and radiology services to medical practitioners, hospitals, community health services, and their collective patients. We also operate Australia's largest ne"
FMG,"Mining, processing and transporting of iron ore for export from the Company's deposits within the Pilbara region of Western Australia"
WPP,"STW Group is Australasia's largest marketing communications group, comprising over 70 specialist companies."
APA,APA Group is Australia's largest natural gas infrastructure business
NGI,Diversified Financials
ORA,"Orora is a leader in innovative packaging solutions, employing 5,500 people across 122 sites in 7 countries. Orora supplies a broad range of fibre, metal and glass packaging solutions, as well as packaging services including design, distribution and recyc"
IRE,The provision of IT solutions to financial market participants and wealth managers.
BAL,Producer and distributor of branded food product.
CAR,Online automotive advertising.
IPL,"Manufacture and distribution of industrial explosives, industrial chemicals and fertilisers, and the provision of related services."
EML,Issuer of pre-paid financial cards.
SRV,"Provides shared workspace, secretarial & IT services to companies and individuals in Australia and overseas."
RSG,Gold mining; development of resource projects and prospecting and exploration for minerals.
SUL,"The operation of specialty retail stores in the automotive, tools, leisure and sports categories."
CKF,Restaurant operations.
WOR,"Provider of Professional Services to the Energy, Resource and Complex Process Industries"
IFN,"Infigen Energy is an active participant in the Australian energy market. It is a developer, owner and operator of renewable energy generation assets delivering energy solutions to Australian businesses and large retailers."
AWC,"Joint venture interest in bauxite mining, alumina refining, alumina based chemicals and aluminium smelting via its 40 per cent interest in the series of operating entities of Alcoa World Alumina & Chemicals (AWAC)."
NCK,Furniture Retailing
JBH,"The Company is a specialty retailer of home consumer products with particular focus on consumer electronics, software (including music, games and movies), whitegoods and appliances."
XRO,The Company is a provider of online accounting software for small businesses.
CCL,"Manufacture, distribution and marketing of beverages."
GOR,Gold and other minerals exploration.
SDA,Satellite network service provider.
MNY,Financial Services
NCZ,Mineral exploration and development.
SSM,"The Service Stream Group provides services to infrastructure based industries predominantly in the  telecommunications and utilities sectors  providing specialist end-to-end services including fixed line & wireless infrastructure design, maintenance, depl"
RIO,"Production of copper, gold, iron ore, coal, aluminium, borates, titanium dioxide and other minerals and metals."
APT,Technology ¿¿¿¿¿¿ software and services
MLD,"Contract Mining
Civil Earthworks
Crushing and Screening
Structural, Mechanical and Piping"
QUB,Logistics
KDR,Mining explorer.
GEM,Child care operator
COE,.
CGC,"Growing, packing and marketing fresh produce"
RRL,Gold and mineral exploration.
CQR,Investment in supermarkets and shopping centres in Australia.
MPL,Private health insurance.
TME,Online marketplace and classified advertising platform based in New Zealand.
MMS,"Salary packaging, asset management, vehicle finance, insurance and warranty."
CSR,Building products
AIA,Airport operations
NWS,"Global newspaper and book publishing, related media and information services, integrated marketing services, digital real estate and education services, sports programming and pay-TV distribution in Australia."
SIQ,Salary packaging administration and fleet management services.
SIG,"Sigma Healthcare is the largest full line pharmacy wholesaler in Australia, has the largest footprint of branded pharmacies, has an expanding national hospital services business, and provides national third party logistics services."
SCO,Debtor finance and trade finance provider
ANN,"Ansell is a world leader in providing superior health and safety protection solutions that enhance human well-being. With operations in four regions, Ansell holds leading positions in the personal protective equipment and medical gloves market, as well as in the sexual health and well-being category worldwide."
S32,Diversified mining and metals
APX,Linguistics services
ASB,Shipbuilding
NAN,"The Company is focused on the research, development, and commercialisation of innovative technologies in infection control and decontamination.  The Company's strategic goal is to establish itself as a recognised global leader in economical, safe, low or non toxic and rapid disinfection, sterilisation and decontamination products."
TWE,"The Company is an international wine business with a portfolio of luxury, premium and commercial wines."
IGL,Marketing and print communications
NAB,"Banking, financial and related services."
SGP,"Stockland is one of the largest diversified property groups in Australia.  Stockland owns, manages and develops a range of assets including shopping centres, office and industrial assets, residential communities and retirement villages."
MFG,"The principal activity of the Group is funds management with the objective of offering international investment funds to high net worth and retail investors in Australia and New Zealand, and institutional investors globally."
CNU,Owning and operating a nationwide fixed line access network infrastructure in New Zealand.
GNC,Global AgriBusiness.
BPT,"Oil and gas exploration, development and production, and investment in the resource industry."
IGO,"Nickel, Gold and Copper-Zinc-Silver mining, development and exploration company"
SYR,Mining explorer
WSA,Mining & exploration
SUN,"Provision of banking, insurance, wealth and other financial solutions to the retail, corporate and commercial sectors."
SGF,"Fleet management, vehicle leasing and salary packaging services."
API,Wholesale distributor of pharmaceutical and allied products and retail support services to pharmacists.
JHX,"Research, development, manufacture, sale and marketing of fibre cement building materials."
SPL,"Biotechnology - development of dendrimer technology for pharmaceutical, life science and other applications."
ANZ,ANZ provides banking and financial products and services to individual and business customers.
AAC,Agriculture
HT1,"HT&E Limited (formerly APN News & Media Limited) is a leading media and entertainment business, with diverse assets in Australia and Hong Kong."
AZJ,"Integrated heavy haul freight railway operator and rail transporter of coal from mine to port for export markets, with portfolio of other bulk, general and containerised freight businesses, as well as large-scale rail services activities."
VRT,Assisted reproductive services.
AJM,Mineral exploration and services business.
MSB,A biotechnology company in the area of adult stem cell technology.
QBE,"Underwriting general and reinsurance risks, investment management and management of the economic entity's share of the NSW and Victorian workers' compensation scheme."
MYX,"Develops, manufactures and markets branded and generic pharmaceutical products globally"
EVN,Gold mining
ALL,"Designs, develops, manufactures and markets a diverse range of products and services including electronic gaming machines and casino management systems. The Group also operates within the online social gaming and real money wager markets."
AHG,Automotive retail and Logistics
TGR,Production and marketing of salmon.
OGC,"OceanaGold Corporation is a multinational, mid-tier gold mining company with significant global operating, development and exploration experience.

OceanaGold¿¿¿s operating assets are located in the Philippines, New Zealand and the United States and inc"
SWM,National Media Group.
IMF,Provision of litigation funding and support services to insolvency and legal practitioners.
AYS,Provider of mobile services in Australia.
REA,Media/publishing.
GXY,"Production of lithium concentrate and exploration for minerals in Australia, Canada and Argentina"
GXL,"Greencross is Australasia's leading pet care specialist. Greencross provides veterinary services and supplies pet related products and services (including grooming, dog washing and obedience training) through a network of over 330 veterinary clinics and r"
ABP,"Abacus Property Group is a leading diversified property group that specialises in investing in core plus property opportunities across commercial property markets in Australia and New Zealand. 
Abacus' strategy is to invest our capital into core plus pro"
FBU,"Building products, distribution, laminates & panels, concrete, construction and steel."
AVN,Holding of real property assets
OSH,"Exploration, development and production of oil and gas resources, with 98% of the Company assets in Papua New Guinea."
WEB,"Full range of online travel booking service for flights, hotels, car hire, cruises, tours."
NEA,"Provision of geospatial map technology for business, enterprises and government customers."
IFM,Infomedia is a leading global provider of SaaS solutions to the parts and service sector of the automotive industry.
SGM,Global metal recycling and innovative recycling solutions.
CLQ,"The Company is an environmental and mining services group serving the air purification, resources recovery and water purification markets."
BXB,"Brambles is a supply-chain logistics company operating in more than 
50 countries, primarily through the CHEP and IFCO brands.
The Group specialises in the pooling of unit-load equipment and associated services, focusing on the outsourced management of"
IEL,Education services provider
AHY,"The Company manufactures, markets and distributes consumer products across the Feminine Hygiene, In continence Hygiene, Baby Hygiene, Consumer Tissue and Professional Hygiene product categories."
CMA,Real estate investment trust.
BRG,"Design, development, marketing and distribution of small electrical appliances in more than 50 countries around the world including Australia, New Zealand, Canada,  USA, UK and Germany"
SXL,Media
IRI,Computer systems management products
WOW,"Food, general merchandise and specialty retailing through chain store operations"
CWP,Property investors and developers.
JHG,Global investment management
PNI,Funds Management
NWL,Provider of superannuation and non-superannuation platform products to financial intermediaries and clients
ORE,Minerals exploration and production company with focus on developing Lithium/Potash resources in Argentina.
WES,"Diversified industrial with interests including retail operations covering supermarkets, general merchandise and specialty departments stores, fuel and liquor outlets and home improvement and office supplies; coal mining; gas processing and distribution; insurance; chemicals and fertilisers; and industrial and safety product distribution."
RIC,"The production of animal nutrition solutions including stockfeed milling and the marketing and provision of rural products and services, and the recycling of animal and fish by-products into high performance feed ingredient solutions for the pet food, aquaculture and livestock industries."
OMH,"The principal activity of the Chief Entity is investment holding.  The principal activity of the Chief Entity's controlled entities is the mining, processing and sale of specialised metal materials."
PME,Development and supply of software and IT solutions to the Public and Private Health sectors
SKC,Gaming entertainment business.
SGR,"The Company operates The Star in Sydney, The Star Gold Coast and Treasury Casino & Hotel in Brisbane. The Company also manages the Gold Coast Convention and Exhibition Centre."
SYD,Airport Operations
INA,"Owns,operates and develops quality affordable seniors living accommodation for older Australians"
SLK,Provider of tourism and transport services.
BVS,"Provider of software products and services to clients operating in the wealth management and funds administration industries which support the functions needed to manage and administer financial products across investment products, wrap platforms, superannuation and pension, retirement, life insurance, private wealth and portfolio administration."
WGN,Diversified Australian construction materials provider focused on the production and sale of construction materials and is an innovative producer of new generation building materials through its composite fibre technologies and earth friendly concrete businesses.
CHC,"The Group is an integrated property group operating across property funds management, development, property investment banking, property management and property investment."
PDL,Global asset management
AX1,Accent owns and operates a number of footwear and apparel businesses in the performance and active lifestyle sectors.
TLS,"Telecommunications Carrier. Provision of telecommunications and information services, including mobiles, internet, and pay television."
NHF,Private health insurer
SLC,Telecommunications infrastructure and managed services
MGR,"Real estate investment, development and investment management."
MP1,Telecommunications
CYB,Banking products and services
MLX,"Tin and Copper mining, production and exploration. Nickel and other base metals exploration and development."
INR,Exploration for mineral deposits in the USA.
PRU,Mining and Mineral exploration
SEA,Oil and gas exploration
BLA,Diversified fund manager of alternative investments.
MYO,Provider of desktop and cloud business management software solutions to businesses and accounting practices in Australia and New Zealand.
FAR,Exploration for oil and gas
CQE,Ownership of established freehold early learning centers.
KGN,Online retail
ASX,"ASX is a fully integrated exchange across multiple asset classes - equities, fixed income, derivatives and managed funds. We service retail, institutional and corporate customers directly and through Australian and international intermediaries. 
We provi"
COL,"Australian retailer of products such as fresh food, groceries, household goods, liquor, fuel and financial services via stores and online"
GWA,"Supplier of building fixtures and fittings to residential and commercial premises, including sanitaryware and bathroom products, baths, tapware, sinks and laundry tubs, door hardware and access systems, and locksmithing services."
WGX,Mining producing entity
CLW,Investment in Australian real estate assets.
CIP,Holds a portfolio of industrial properties within Australia.
GMA,Provider of lenders mortgage insurance in Australia.
CGF,"The Company is a multi-faceted financial services organisation, with core businesses in annuities, funds management and administration platforms."
IMD,Provider of leading real time sub-surface technologies to the global minerals industry and other targeted non-mining markets.
FXL,"Point of sale lease and rental finance for the IT equipment, electrical appliance and other retail markets."
CTX,"Purchase, refining, distribution, and marketing of petroleum products and the operation of convenience stores."
PMV,Investment in listed securities;
LYC,Production of Rare Earths concentrate at Mt Weld.  Production and sale of Rare Earths products from the LAMP in Malaysia.
GDI,"Owning, managing and developing real estate assets and managing real estate funds on behalf of third party investors."
PPS,Portfolio administration services
GOZ,Investing in Australian commercial real estate
NEC,Media and entertainment company.
BOQ,"Banking, financial and related services."
LNG,"LNGL's Mission is to deliver safe, reliable, energy e¿¿¿cient, ¿¿¿exible mid-scale LNG liquefaction solutions at the industry¿¿¿s lowest full cycle cost to our customers and partners, while minimizing ecological impacts."
HSN,"Development, Integration and support of billings systems software for the telecommunications and utilities industries."
TAH,"The provision of gambling and other entertainment services. The company has wagering and media, gaming services, and Keno operations."
SCG,Property management and development.
AST,Electricity transmission and distribution and gas distribution.
SEK,Operator of online employment classifieds and education and training.
SVW,A diversified operating and investment group which comprises wholly-owned industrial operating businesses alongside key strategic investments in media and industrial equipment hire.
REG,Residential aged care provider.
VEA,"Manufacture, distribution and supply of petroleum products to retail and commercial customers."
WPL,"Management and operation of hydrocarbon exploration, development, production, transportation and marketing; implementation and operation of the North West Shelf Gas Project; exploration and development of gas, oil and condensate reserves."
